,Age,Cabin,Fare,Parch,Sex,Survived,1,2,3
0,3,0,1.4151057004928589,0,1,0,0,0,1
1,4,1,13.913573265075684,0,0,1,1,0,0
2,3,0,1.5468568801879883,0,0,1,0,0,1
3,4,1,10.364428520202637,0,0,1,1,0,0
4,4,0,1.5712553262710571,0,1,0,0,0,1
6,5,1,10.122884750366211,0,1,0,1,0,0
7,1,0,4.113565921783447,1,1,0,0,0,1
8,3,0,2.1730751991271973,1,0,1,0,0,1
9,2,0,5.869429111480713,0,0,1,0,1,0
10,1,1,3.259622812271118,1,0,1,0,0,1
11,5,1,5.182214260101318,0,0,1,1,0,0
12,3,0,1.5712553262710571,0,1,0,0,0,1
13,4,0,6.104473114013672,1,1,0,0,0,1
14,2,0,1.5330376625061035,0,0,0,0,0,1
15,5,0,3.1229918003082275,0,0,1,0,1,0
16,1,0,5.684821128845215,1,1,0,0,0,1
18,4,0,3.5133657455444336,0,0,0,0,0,1
20,4,0,5.074861526489258,0,1,0,0,1,0
21,4,1,2.537430763244629,0,1,1,0,1,0
22,2,0,1.5671952962875366,0,0,1,0,0,1
23,3,1,6.92913818359375,0,1,1,1,0,0
24,1,0,4.113565921783447,1,0,0,0,0,1
25,4,0,6.126431941986084,1,0,1,0,0,1
27,3,1,51.33417892456055,1,1,0,1,0,0
30,4,0,5.410739421844482,0,1,0,1,0,0
33,6,0,2.0494632720947266,0,1,0,0,1,0
34,3,0,16.038671493530273,0,1,0,1,0,0
35,4,0,10.149723052978516,0,1,0,1,0,0
37,3,0,1.5712553262710571,0,1,0,0,0,1
38,2,0,3.5133657455444336,0,0,0,0,0,1
39,2,0,2.1942336559295654,0,0,1,0,0,1
40,4,0,1.849396824836731,0,0,0,0,0,1
41,3,0,4.098926544189453,0,0,0,0,1,0
43,1,0,8.115718841552734,1,0,1,0,1,0
44,3,0,1.5379172563552856,0,0,1,0,0,1
49,2,0,3.4743282794952393,0,0,0,0,0,1
50,1,0,7.74648380279541,1,1,0,0,0,1
51,3,0,1.522458553314209,0,1,0,0,0,1
52,5,1,14.976541519165039,0,0,1,1,0,0
53,3,0,5.074861526489258,0,0,1,0,1,0
54,6,1,12.097533226013184,1,1,0,1,0,0
56,3,0,2.0494632720947266,0,0,1,0,1,0
57,3,0,1.411045789718628,0,1,0,0,0,1
58,1,0,5.416439056396484,1,0,1,0,1,0
59,1,0,9.15427017211914,1,1,0,0,0,1
60,3,0,1.411045789718628,0,1,0,0,0,1
61,4,1,15.614958763122559,0,0,1,1,0,0
62,4,1,16.29323387145996,0,1,0,1,0,0
63,1,0,5.445716857910156,1,1,0,0,0,1
66,3,1,2.0494632720947266,0,0,1,0,1,0
67,3,0,1.5923941135406494,0,1,0,0,0,1
68,2,0,1.5468568801879883,1,0,1,0,0,1
69,3,0,1.6908073425292969,0,1,0,0,0,1
70,4,0,2.0494632720947266,0,1,0,0,1,0
71,2,0,9.15427017211914,1,0,0,0,0,1
72,3,0,14.346243858337402,0,1,0,0,1,0
73,3,0,2.8212716579437256,0,1,0,0,0,1
74,4,0,11.027244567871094,0,1,1,0,0,1
75,3,1,1.493180513381958,0,1,0,0,0,1
78,1,0,5.6604228019714355,1,1,1,0,1,0
79,3,0,2.43495774269104,0,0,1,0,0,1
80,3,0,1.7566828727722168,0,1,0,0,0,1
81,3,0,1.854276418685913,0,1,1,0,0,1
83,3,0,9.193306922912598,0,1,0,1,0,0
84,2,0,2.0494632720947266,0,0,1,0,1,0
85,4,0,3.0937137603759766,0,0,1,0,0,1
86,2,0,6.709552764892578,1,1,0,0,0,1
88,3,1,51.33417892456055,1,0,1,1,0,0
89,3,0,1.5712553262710571,0,1,0,0,0,1
90,3,0,1.5712553262710571,0,1,0,0,0,1
91,3,0,1.5330376625061035,0,1,0,0,0,1
92,5,1,11.940564155578613,0,1,0,1,0,0
93,3,0,4.01597261428833,1,1,0,0,0,1
94,5,0,1.4151057004928589,0,1,0,0,0,1
96,6,1,6.764049053192139,0,1,0,1,0,0
97,3,1,12.366715431213379,1,1,1,1,0,0
98,4,0,4.489300727844238,1,0,1,0,1,0
99,4,0,5.074861526489258,0,1,0,0,1,0
100,3,0,1.5411574840545654,0,0,0,0,0,1
102,3,1,15.085514068603516,1,1,0,1,0,0
103,4,0,1.6891871690750122,0,1,0,0,0,1
104,4,0,1.5468568801879883,0,1,0,0,0,1
105,3,0,1.5411574840545654,0,1,0,0,0,1
106,3,0,1.493180513381958,0,0,1,0,0,1
108,4,0,1.5411574840545654,0,1,0,0,0,1
110,5,1,10.149723052978516,0,1,0,1,0,0
111,2,0,2.8212716579437256,0,0,0,0,0,1
112,3,0,1.5712553262710571,0,1,0,0,0,1
113,3,0,1.9177120923995972,0,0,0,0,0,1
114,2,0,2.8220720291137695,0,0,0,0,0,1
115,3,0,1.5468568801879883,0,1,0,0,0,1
116,6,0,1.5126991271972656,0,1,0,0,0,1
117,3,0,4.098926544189453,0,1,0,0,1,0
118,3,1,48.31283950805664,1,1,0,1,0,0
119,1,0,6.104473114013672,1,0,0,0,0,1
120,3,0,14.346243858337402,0,1,0,0,1,0
122,4,0,5.869429111480713,0,1,0,0,1,0
123,4,1,2.537430763244629,0,0,1,0,1,0
124,5,1,15.085514068603516,1,1,0,1,0,0
125,6,0,2.1942336559295654,0,1,1,0,0,1
127,3,0,1.3939669132232666,0,1,1,0,0,1
129,4,0,1.361429214477539,0,1,0,0,0,1
130,4,0,1.5411574840545654,0,1,0,0,0,1
131,3,0,1.376068353652954,0,1,0,0,0,1
132,5,0,2.8302114009857178,0,0,0,0,0,1
133,3,0,5.074861526489258,0,0,1,0,1,0
134,3,0,2.537430763244629,0,1,0,0,1,0
135,3,0,2.936744451522827,0,1,0,0,1,0
136,3,1,5.130158424377441,1,0,1,1,0,0
137,4,1,10.364428520202637,0,1,0,1,0,0
138,2,0,1.7989798784255981,0,1,0,0,0,1
139,3,1,15.458808898925781,0,1,0,1,0,0
141,3,0,1.5126991271972656,0,0,1,0,0,1
142,3,0,3.0937137603759766,0,0,1,0,0,1
143,3,0,1.3175121545791626,0,1,0,0,0,1
144,2,0,2.244650363922119,0,1,0,0,1,0
145,3,0,7.173121929168701,1,1,0,0,1,0
146,3,0,1.5216387510299683,0,1,1,0,0,1
147,1,0,6.709552764892578,1,0,0,0,0,1
148,4,1,5.074861526489258,1,1,0,0,1,0
149,4,0,2.537430763244629,0,1,0,0,1,0
150,5,0,2.4447169303894043,0,1,0,0,1,0
151,3,1,12.9994535446167,0,0,1,1,0,0
152,5,0,1.5712553262710571,0,1,0,0,0,1
153,4,0,2.8302114009857178,1,1,0,0,0,1
155,5,0,11.98042106628418,1,1,0,1,0,0
156,2,0,1.5094395875930786,0,0,1,0,0,1
157,3,0,1.5712553262710571,0,1,0,0,0,1
160,4,0,3.1425106525421143,1,1,0,0,0,1
161,4,0,3.074195146560669,0,0,1,0,1,0
162,3,0,1.5175788402557373,0,1,0,0,0,1
163,2,0,1.6908073425292969,0,1,0,0,0,1
164,1,0,7.74648380279541,1,1,0,0,0,1
165,1,0,4.0062127113342285,1,1,1,0,0,1
167,4,0,5.445716857910156,1,0,0,0,0,1
169,3,0,11.027244567871094,0,1,0,0,0,1
170,6,1,6.538763999938965,0,1,0,1,0,0
171,1,0,5.684821128845215,1,1,0,0,0,1
172,1,0,2.1730751991271973,1,0,1,0,0,1
173,3,0,1.5468568801879883,0,1,0,0,0,1
174,5,1,5.991420745849609,0,1,0,1,0,0
175,2,0,1.5330376625061035,1,1,0,0,0,1
177,5,1,5.604306221008301,0,0,0,1,0,0
178,3,0,2.537430763244629,0,1,0,0,1,0
179,4,0,0.0,0,1,0,0,0,1
